iter	Passed	Remaining
903	1669	177
904	1671	175
905	1673	173
906	1674	171
907	1676	169
908	1678	168
909	1680	166
910	1682	164
911	1683	162
912	1685	160
913	1687	158
914	1689	156
915	1691	155
916	1693	153
917	1695	151
918	1696	149
919	1698	147
920	1701	145
921	1702	144
922	1704	142
923	1706	140
924	1708	138
925	1710	136
926	1712	134
927	1713	132
928	1715	131
929	1717	129
930	1718	127
931	1720	125
932	1722	123
933	1725	121
934	1727	120
935	1728	118
936	1730	116
937	1732	114
938	1733	112
939	1735	110
940	1737	108
941	1739	107
942	1741	105
943	1742	103
944	1744	101
945	1746	99
946	1748	97
947	1749	95
948	1751	94
949	1753	92
950	1755	90
951	1757	88
952	1758	86
953	1760	84
954	1762	83
955	1764	81
956	1765	79
957	1767	77
958	1769	75
959	1771	73
960	1773	71
961	1775	70
962	1777	68
963	1778	66
964	1780	64
965	1782	62
966	1784	60
967	1785	59
968	1788	57
969	1790	55
970	1792	53
971	1794	51
972	1795	49
973	1798	48
974	1800	46
975	1802	44
976	1804	42
977	1806	40
978	1808	38
979	1809	36
980	1811	35
981	1813	33
982	1815	31
983	1817	29
984	1819	27
985	1821	25
986	1823	24
987	1825	22
988	1826	20
989	1828	18
990	1830	16
991	1832	14
992	1834	12
993	1835	11
994	1837	9
995	1839	7
996	1841	5
997	1843	3
998	1845	1
999	1847	0
