iter	RMSE
461	96106.18334
462	96006.7503
463	95949.4757
464	95882.3795
465	95563.10765
466	95446.20894
467	95364.23445
468	95289.75571
469	95217.68123
470	95153.02448
471	95067.6507
472	94926.59148
473	94745.22498
474	94605.23906
475	94488.05524
476	94351.66038
477	94197.49555
478	94128.31389
479	94016.10782
480	93932.94583
481	93845.91104
482	93732.66521
483	93657.51381
484	93556.52879
485	93468.41805
486	93418.03793
487	93339.79586
488	93222.36617
489	93090.4204
490	92987.77636
491	92931.09065
492	92843.67353
493	92682.02857
494	92554.35501
495	92378.39469
496	92313.68921
497	92202.95469
498	92133.66945
499	91998.03465
500	91889.50658
501	91827.9044
502	91736.49869
503	91655.34026
504	91520.88247
505	91384.51349
506	91268.30288
507	91150.41402
508	91097.16146
509	91028.38635
510	90966.17518
511	90889.33086
512	90637.49164
513	90576.54563
514	90386.23177
515	90279.55324
516	90241.5306
517	90179.96519
518	90059.69903
519	89967.49022
520	89880.75235
521	89770.85454
522	89633.20132
523	89567.5012
524	89512.50406
525	89404.81148
526	89302.04342
527	89211.22235
528	89152.53191
529	89074.70909
530	89017.32592
531	88939.69281
532	88814.99509
533	88728.27188
534	88647.43994
535	88600.90849
536	88475.71754
537	88408.93473
538	88356.30459
539	88264.52523
540	88041.0531
541	87971.63281
542	87908.13188
543	87813.70408
544	87753.17813
545	87675.97202
546	87614.11553
547	87517.13862
548	87458.01179
549	87363.2484
550	87296.60391
551	87095.71053
552	87013.06239
553	86956.62557
554	86895.24744
555	86801.80449
556	86744.01697
557	86665.38459
558	86608.79821
559	86499.43847
560	86440.32104
561	86378.84554
562	86233.70877
563	86182.50512
564	86127.71184
565	86078.25303
566	85947.8889
567	85923.8873
568	85876.76703
569	85815.46464
570	85757.36487
571	85702.09946
572	85659.09962
573	85606.39491
574	85559.59009
575	85355.36752
576	85293.87643
577	85194.1618
578	85142.39227
579	85090.97797
580	85003.85424
581	84953.01329
582	84901.46713
583	84807.69543
584	84730.45694
585	84597.02366
586	84569.26298
587	84490.61186
588	84338.83844
589	84276.62968
590	84227.95692
591	84154.7239
592	84083.48074
593	84017.88487
594	83942.6858
595	83874.58113
596	83783.0129
597	83724.94255
598	83656.04902
599	83599.84844
600	83531.25744
601	83455.90868
602	83398.3516
603	83332.30521
604	83270.50385
605	83186.80002
606	83127.22227
607	83074.31047
608	82991.14552
609	82933.38054
610	82857.07701
611	82807.26585
612	82753.68614
613	82697.29676
614	82659.3861
615	82613.62733
616	82542.67468
617	82496.25513
618	82421.21006
619	82385.192
620	82333.77809
621	82285.96024
622	82243.70511
623	82118.56705
624	82049.02359
625	81973.72249
626	81931.79024
627	81897.87505
628	81861.50133
629	81809.71393
630	81756.11969
631	81723.68797
632	81669.64363
633	81608.46867
634	81562.79676
635	81502.5217
636	81458.20825
637	81362.34671
638	81322.89083
639	81284.63873
640	81223.04361
641	81150.57985
642	81113.24201
643	81052.13069
644	81004.52999
645	80964.65927
646	80877.85295
647	80832.14013
648	80782.84927
649	80738.16928
650	80679.70204
651	80622.89339
652	80586.99637
653	80545.55151
654	80414.89596
655	80369.2532
656	80331.56874
657	80295.54963
658	80237.4035
659	80174.30546
660	80108.15329
661	80053.47644
